"""Yine bigün sevgilim o müthiş sesiyle(!) söylediği günaydın şarkılarıyla uyandırıyo😒😒""",Positive
"""Acıyı görüyor musun sevgilim? Peki ya nasıl kıvrandığımı? Ben senin nasıl kafanı çevirdiğini görüyorum""",Negative
"""Hem sevgilim yok hem şarjım bitiyo saçmalığa bak 😏""",Positive
"""Böyle Sevgilim Olsun, On Milyar Borcum Olsun"" Diyeceğiniz Kadın: Cara Delevingne""",Negative
"""Hem sevgilim yok hem şarjım bitiyo saçmalığa bak 😏""",Positive
"""Ama yaww Reizz benim sevgilim öyle tatlişkiiiii yani terk etmez o benii""",Positive
"""gözlerime baktığında seni göreceksin sevgilim""",Positive
"""Koray Avcı - Günaydın Sevgilim (Şiir) romantik olmakta biraz şov bence""",Negative
"""Sevim degil sew im yani sevgilim""",Positive
"""+Napıyosun aşkım ? -Hiç +Birşeymi oldu ? -Hayır +Soğuk gibisin ? -Hayır dedim +Tamam sevgilim -Peki +Seni çok...""",Positive
"""Sevgililik Şiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Başkasına baksam kendimi döverim.…""",Positive
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""Ha bide Twitterda orda burda sevgilim yok diye götünü yırtan tipler var işte buyüzden sevgiliniz yok beynini siktiklerim""",Positive
"""Canım orospu kerhanede çalışan karıya denir, senden ayrılan kıza değil az adam ol da bi zamanlar Sevgilim' dediğin kıza s…""",Negative
"""Yıldız Tilbe-Dur Dinle Sevgilim aracılığıyla""",Negative
"""Sevgililik Şiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Başkasına baksam kendimi döverim.…""",Positive
"""Sevgilim olmasını çok istiyorum.""",Negative
"""gözlerime baktığında seni göreceksin sevgilim""",Positive
"""gözlerime baktığında seni göreceksin sevgilim""",Positive
"""Sevgilim erkek erkeğe tabii bir yerlere gidebilirsiniz mesala askere.""",Negative
"""gözlerime baktığında seni göreceksin sevgilim""",Positive
"""aşkim bebeim sevgilim""",Positive
"""Günün ilk sigarası gibisin sevgilim.""",Negative
"""Sevgilim olsada bana profiterol alsa""",Negative
"""Beni sen akşamcı ettin hayal sevgilim KayseriNevşehirBaşbakanAğırlıyor""",Positive
"""Sevgilim :) bensiz :) arkadaslariyla :) tatile gitmeye kalkacak :) bide sevgilim :) bensiz :)))) ölmezse insallah :)""",Positive
"""Sevgilim bugün olmaz"" dediğinde ben""",Negative
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""11.30ta sabah bi uyandım telefonda 7 cevapsız arama tabiki sevgilim değil erkek kardeşimle babam aramış 😂😂""",Positive
"""Tamam sevgilim değilsin ama bu; Seni sevmediğim, kıskanmadığım, özlemediğim anlamına gelmez, gelemez.""",Positive
"""Annemin bildiği benim bilmediğim bi sevgilim var""",Positive
"""Sevgilim hem doğum günümü hatırlamalı, hem de yaşımı unutmalı. Manyağa çevireceğim oğlum seni.""",Negative
"""Sevgilim erkek erkeğe tabi ki bir yerlere gidebilir mesela askere.""",Negative
"""Hayal sevgilim KayseriNevşehirBaşbakanAğırlıyor""",Positive
"""Sevgilim sen olmasan Yaşamak neye yarar Sevgilim sen olmasan Bu dünya neye yarar""",Negative
"""AL SEVGİLİM KANSER OL BUNUNLA""",Negative
"""En son gta vice cityde sevgilim olmuştu. Onuda yanlışlıkla ezmiştim.""",Positive
"""Herşey izafi hayal sevgilim KayseriNevşehirBaşbakanAğırlıyor""",Positive
"""her zaman ki gibi çok güzeliz sevgilim :) ❤❤❤""",Positive
"""Bi gün sevgilim olduğunda bunu vatsap durumumdan anlarsınız--&gt; 😱😍👣💑👰🏿👨‍👩‍👧👨‍👩‍👧‍👦👴🏽👵🏻👺👻""",Positive
"""Seni Seviyorum Sevgilim Mutlu Olduk Sonunda 😊""",Negative
"""Saç tellerine sor beni sevgilim onlarda özlemedi mi ,onlarda mı hayırsız??""",Positive
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""karşımda eski sevgilim adam mıdır""",Positive
"""Çık gel sevgilim, Ellerinde papatyalar bir pazar sabahı, Bir bahar müjdesi gibi çık gel..”""",Negative
"""ya benim elimi sevgilim böyle tutmadı bee gfhrfkjfvkjr""",Positive
"""Yagmurda islanicak sevgilim var ama calisiyiii .ss""",Positive
"""sevgilim arkadaşlarıyla gece takılabilir ben bunda bi sakınca görmüyorum sonuçta ölüm Allah'ın emri""",Positive
"""-Kanka sevgilim beni terketti. Sence geri döner mi ?""",Positive
"""En son gta vice cityde sevgilim olmuştu. Onuda yanlışlıkla ezmiştim.""",Positive
"""Sevgilim diye demiyorum, hiç yoktur kendisi sjsjsjsjs""",Negative
"""Benim sevgilim neden oyun delisi ?""",Positive
"""KayseriNevşehirBaşbakanAğırlıyor Herşey izafi hayal sevgilim""",Positive
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""En son gta vice cityde sevgilim olmuştu. Onuda yanlışlıkla ezmiştim.""",Positive
"""Fenerbahçem benim biricik sevgilim! BirÇınar108Yaşında""",Negative
"""Sevgilim beni aldattigin anlayinca intikam yolunda ilerlerken ben :d""",Negative
"""KayseriNevşehirBaşbakanAğırlıyor Herşey izafi hayal sevgilim""",Positive
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""sevgilim olmasan uza lan derdim şu an sana ama sevgilimsin tmm dicem mecbur""",Positive
"""Sevgilim yokkk mesaj atın ☆♡♥♡♥¤♥""",Negative
"""Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF""",Positive
"""sevgilim, bir gülsen düşecek aşk""",Negative
