@relation finished-data
@attribute tweets string
@attribute feeling{Negative,Positive}

@data
'Yine bigün sevgilim o müthiþ sesiyle(!) söylediði günaydýn þarkýlarýyla uyandýrýyo????',Positive
'Acýyý görüyor musun sevgilim? Peki ya nasýl kývrandýðýmý? Ben senin nasýl kafaný çevirdiðini görüyorum',Negative
'Hem sevgilim yok hem þarjým bitiyo saçmalýða bak ??',Positive
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Hem sevgilim yok hem þarjým bitiyo saçmalýða bak ??',Positive
'Ama yaww Reizz benim sevgilim öyle tatliþkiiiii yani terk etmez o benii',Positive
'gözlerime baktýðýnda seni göreceksin sevgilim',Positive
'Koray Avcý - Günaydýn Sevgilim (Þiir) romantik olmakta biraz þov bence',Negative
'Sevim degil sew im yani sevgilim',Positive
'+Napýyosun aþkým ? -Hiç +Birþeymi oldu ? -Hayýr +Soðuk gibisin ? -Hayýr dedim +Tamam sevgilim -Peki +Seni çok...',Positive
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'Ha bide Twitterda orda burda sevgilim yok diye götünü yýrtan tipler var iþte buyüzden sevgiliniz yok beynini siktiklerim',Positive
'Caným orospu kerhanede çalýþan karýya denir, senden ayrýlan kýza deðil az adam ol da bi zamanlar Sevgilim dediðin kýza s…',Negative
'Yýldýz Tilbe-Dur Dinle Sevgilim aracýlýðýyla',Negative
'Sevgililik Þiiri Sevgilim sevgilim sevgilim Hergün onu severim Sevgilim sevgilim sevgilim Baþkasýna baksam kendimi döverim.…',Positive
'Sevgilim olmasýný çok istiyorum.',Negative
'gözlerime baktýðýnda seni göreceksin sevgilim',Positive
'gözlerime baktýðýnda seni göreceksin sevgilim',Positive
'Sevgilim erkek erkeðe tabii bir yerlere gidebilirsiniz mesala askere.',Negative
'gözlerime baktýðýnda seni göreceksin sevgilim',Positive
'aþkim bebeim sevgilim',Positive
'Günün ilk sigarasý gibisin sevgilim.',Negative
'Sevgilim olsada bana profiterol alsa',Negative
'Beni sen akþamcý ettin hayal sevgilim KayseriNevþehirBaþbakanAðýrlýyor',Positive
'Sevgilim :) bensiz :) arkadaslariyla :) tatile gitmeye kalkacak :) bide sevgilim :) bensiz :)))) ölmezse insallah :)',Positive
'Sevgilim bugün olmaz dediðinde ben',Negative
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'11.30ta sabah bi uyandým telefonda 7 cevapsýz arama tabiki sevgilim deðil erkek kardeþimle babam aramýþ ????',Positive
'Tamam sevgilim deðilsin ama bu; Seni sevmediðim, kýskanmadýðým, özlemediðim anlamýna gelmez, gelemez.',Positive
'Annemin bildiði benim bilmediðim bi sevgilim var',Positive
'Sevgilim hem doðum günümü hatýrlamalý, hem de yaþýmý unutmalý. Manyaða çevireceðim oðlum seni.',Negative
'Sevgilim erkek erkeðe tabi ki bir yerlere gidebilir mesela askere.',Negative
'Hayal sevgilim KayseriNevþehirBaþbakanAðýrlýyor',Positive
'Sevgilim sen olmasan Yaþamak neye yarar Sevgilim sen olmasan Bu dünya neye yarar',Negative
'AL SEVGÝLÝM KANSER OL BUNUNLA',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Herþey izafi hayal sevgilim KayseriNevþehirBaþbakanAðýrlýyor',Positive
'her zaman ki gibi çok güzeliz sevgilim :) ???',Positive
'Bi gün sevgilim olduðunda bunu vatsap durumumdan anlarsýnýz--&gt; ???????????????????????????????????????????',Positive
'Seni Seviyorum Sevgilim Mutlu Olduk Sonunda ??',Negative
'Saç tellerine sor beni sevgilim onlarda özlemedi mi ,onlarda mý hayýrsýz??',Positive
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'karþýmda eski sevgilim adam mýdýr',Positive
'Çýk gel sevgilim, Ellerinde papatyalar bir pazar sabahý, Bir bahar müjdesi gibi çýk gel..”',Negative
'ya benim elimi sevgilim böyle tutmadý bee gfhrfkjfvkjr',Positive
'Yagmurda islanicak sevgilim var ama calisiyiii .ss',Positive
'sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi sjsjsjsjs',Negative
'Benim sevgilim neden oyun delisi ?',Positive
'KayseriNevþehirBaþbakanAðýrlýyor Herþey izafi hayal sevgilim',Positive
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Fenerbahçem benim biricik sevgilim! BirÇýnar108Yaþýnda',Negative
'Sevgilim beni aldattigin anlayinca intikam yolunda ilerlerken ben :d',Negative
'KayseriNevþehirBaþbakanAðýrlýyor Herþey izafi hayal sevgilim',Positive
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'sevgilim olmasan uza lan derdim þu an sana ama sevgilimsin tmm dicem mecbur',Positive
'Sevgilim yokkk mesaj atýn ??¦?¦¤¦',Negative
'Lee Teuk sevgilim olsun on milyar borcum olsun Sonuçta çok zengn o öder BestFandomCA2015 ELF',Positive
'sevgilim, bir gülsen düþecek aþk',Negative
'Fenerbahçem benim biricik sevgilim BirÇýnar108Yaþýnda',Positive
'KayseriNevþehirBaþbakanAðýrlýyor Herþey izafi hayal sevgilim',Positive
'Sevgilim yok, mesaj ataným yok, azýcýk hoþlanan biri bile yok. Ot gibi yaþýyorum.',Negative
'Kýzým lafýný hiç duymamýþ insan sevgilim lafýnýn eksikliðini hissetmiyor açýkcasý',Positive
'Benim ayý sevgilim ????',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Hayal sevgilim KayseriNevþehirBaþbakanAðýrlýyor',Positive
'Bu çevrim içi oluþlarýn kime sevgilim??',Negative
'En son gta vice cityde sevgilim olmuþtu. Onuda yanlýþlýkla ezmiþtim.',Positive
'Kosuya çýkarken yanýma buðrayýda alýyýmda insanlar sevgilim var sansýnlar',Positive
'bizim hayatýmýz gezmekle geçiyo sevgilim napucuk ????',Positive
'sevgilim, bir gülsen düþecek aþk',Negative
'KayseriNevþehirBaþbakanAðýrlýyor Herþey izafi hayal sevgilim',Positive
'KayseriNevþehirBaþbakanAðýrlýyor Hayal sevgilim',Positive
'Herþey izafi hayal sevgilim KayseriNevþehirBaþbakanAðýrlýyor',Positive
'Neden bana çorba yapacak bir sevgilim yok anlatsanýza biraz',Positive
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'KayseriNevþehirBaþbakanAðýrlýyor Beni sen akþamcý ettin hayal sevgilim',Positive
'Hani Ex Gibiydik Senle Hýzlýydýk DuygusaLdýk Yetiþemezdi Kimse BizLere . Ne oLdu Sevgilim Yoksa Bizdemi GeLdik DüþüþLer..',Negative
'Sevgilim þarjým bitiyor dediðinde ben.',Negative
'Sen bana Evet de. Öpüþelim ve Devrim gerçekleþsin artýk sevgilim.',Negative
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'Eski sevgilim diye demiyorumda malmýþsýn',Positive
'Sevgilim diye demiyorum, hiç yoktur kendisi sjsjsjsjs',Negative
'Eski sevgilim diye demiyorumda malmýþsýn',Positive
'artýk biri bana seni sorduðunda eski sevgilim demeye utanýyorum, midem bulanýyor ama yine de sen bilirsin tabi iðrençlik konusunda özgürsün',Positive
'ÝLLA SEVGÝLÝM OLMAK ZORUNDA DEÐÝLSÝN, YALNIZ HÝSSETTÝRME YETER.',Negative
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'SendenBanaKalan 2 dakika çok uzadý sevgilim... Ekin Koç ve Neslihan Atagül.',Negative
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'Nolurdu bi sevgilim olsaydý nolurdu kappeler',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'“Çýk gel sevgilim, Ellerinde papatyalar bir pazar sabahý, Bir bahar müjdesi gibi çýk gel. ElifÖztürk”',Negative
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'-Kanka sevgilim beni terketti. Sence geri döner mi ?',Positive
'Çok dengesizsin laaaa esmer sevgilim !!',Positive
'sevgilim hamile mi?',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'O kirpik hala bende sevgilim.',Negative
'Mektup yazacak bi sevgilim bile yoktu. Ben de ziya kankime yazdým',Positive
'Neyleyim ben sensiz geçen hayatý Yaþamak sevgilim seninle güzel.. Yýldýz Tilbe',Positive
'Sevgilim telefonuyla sadece benimle konussun diye kendim haric tum numaralari sildim...Mutluyum,huzurluyum',Negative
'Tamam sevgilim deðilsin ama bu; Seni sevmediðim, kýskanmadýðým, özlemediðim anlamýna gelmez, gelemez.',Positive
'Ne güzel þey seni sevmek,Fenerbahçeliyim demek 108 yýllýk geçmiþin kutlu olsun sevgilim Efsane108Yasýnda',Positive
'PazarPlanlarým Müzik benim sevgilim.',Negative
'Ve elbette ki, sevgilim, elbet, dolaþacaktýr elini kolunu sallaya sallaya, dolaþacaktýr en þanlý elbisesiyle... ht…',Negative
'PazarPlanlarým Sevgilim olmasýn, ama hep benim yanýmda olsun hissi.',Negative
'ah sevdasýna bencil sevgilim,ne güzel de gülüyorsun öyle.',Negative
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Eskiden sevgilim anlatmýþtý askerde sabunu ortadan deliyorlarmýþ sonrada sabuna tecavüz :)))))',Positive
'Eski sevgilim aðda yapýyormuþ ????',Positive
'Annemin bildiði ama benim bilmediðim bir sevgilim var. PazarPlanlarým',Positive
'ULAN BÝ SEVGÝLÝM OLSA DA ÞÖYLE BÝ CIZ-BIZ YAPSAK, IMMM',Negative
'Genelde sevgililer; -Sn kpt.s +Hyr sn kpt.s Benim sevgilim olsa; -Sn kpt.s +Siktir git amk kontörden gidiyo. Allah biliyo da vermiyo.',Negative
'Eðer tipim fotoðraflardaki gibi ve sesim de videolardaki gibiyse sevgilim olmamasý çok normal :P ;) :D &lt;3 MUTLU PAZARLAR &lt;3',Positive
'PazarPlanlarým Yaþamak ümitli bir iþtir, sevgilim.',Negative
'Sevgilim sen kýskanma sen sadece sev yörüngen þaþýyor senin ??',Negative
'sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'sevgilim arkadaþlarýyla gece takýlabilir ben bunda bi sakýnca görmüyorum sonuçta ölüm Allahýn emri',Positive
'Sevgilim bana biþey alýp masraf etmesin diye sevgililer gününde ayrýlan biriyim sence kim daha çok seviyo',Negative
'Kuþlarý boþ ver sevgilim, papatya koysunlar yoluna.',Negative
'Eski sevgilim ile ayný barda içip, ayný öðrenci kulübünde olduðumuzu ögreneli sadece bi kaç dakika oldu.',Positive
'sevgilim var uza diye tivik atmýþýn beni niye takip ettin',Positive
'mutlu yýllar sevgilim',Negative
'diss atcak eski sevgilim yok of',Positive
'Deli gibi sarýmý özledim. Sevgilim olsa bu ladar özlemem. Can kardeþ olmak bunu gerektiriyor. ?',Positive
'artýk sevgilim var',Positive
'Internet paketimin bitme sebebisin sevgilim. ??',Negative
'Eski sevgilim oç ?? ?????',Positive
'Ata Demirer - Nazende Sevgilim Yadýma Düþtün:',Negative
'Eski sevgilim oç ?? ?????',Positive
'Böyle Sevgilim Olsun, On Milyar Borcum Olsun Diyeceðiniz Kadýn: Cara Delevingne',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'kerem demiþti beyaz Show da trip atan sevgilim var gibilerinden :) Yaðmurun tripini yeriz :) kýz cok Sabýrlý ve haklý ;)',Positive
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim diye demiyorum, hiç yoktur kendisi.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'Sevgilim olacak kiza sesleniyorum ; bana kas yap deme, göbeðini içine çekme ben göbekli halini seviyorum de.',Negative
'arayan sevgilim di dediki bu aþk bitti biterse bitsin gülüm saldir Ankaragücüm.',Positive
'Gül ki sevgilim',Positive
'Sevgilim eðil sakallarýnýn içinde sakladýðýn dudaðýnýn yanýndaki buseyi öpeyim dedi. bunlar birbirine girdi. Saç baþ olay mah…',Negative
